epoch,loss,accuracy,precision,recall,f1,auc
1,0.7935628354704628,0.8522388059701492,0.3333333333333333,0.01020408163265306,0.019801980198019802,0.8664906522049379
2,0.5089669077701512,0.9044776119402985,0.6328125,0.826530612244898,0.7168141592920354,0.9609140859140859
3,0.33713245812845055,0.926865671641791,0.696,0.8877551020408163,0.7802690582959642,0.970939774511203
4,0.2555838663102989,0.9567164179104478,0.8349514563106796,0.8775510204081632,0.8557213930348259,0.9865134865134865
5,0.19693507881333622,0.9522388059701492,0.775,0.9489795918367347,0.8532110091743119,0.9894569715998288
6,0.16530035396080567,0.9507462686567164,0.7559055118110236,0.9795918367346939,0.8533333333333334,0.9855501641215927
7,0.1478374991815062,0.9701492537313433,0.8421052631578947,0.9795918367346939,0.9056603773584906,0.9955223348080491
8,0.13683320305673247,0.9791044776119403,0.8888888888888888,0.9795918367346939,0.9320388349514563,0.9970029970029971
9,0.11684216025761252,0.9776119402985075,0.8738738738738738,0.9897959183673469,0.9282296650717703,0.9967175681461395
10,0.12487142874688044,0.9611940298507463,0.9864864864864865,0.7448979591836735,0.8488372093023255,0.997092193520765
11,0.1280674111389894,0.9761194029850746,0.8596491228070176,1.0,0.9245283018867925,0.9980198373055517
12,0.12231111628449218,0.9761194029850746,0.8727272727272727,0.9795918367346939,0.9230769230769231,0.998305266162409
13,0.11557867763636326,0.982089552238806,0.967391304347826,0.9081632653061225,0.9368421052631579,0.998305266162409
14,0.10609499383161762,0.991044776119403,0.96,0.9795918367346939,0.9696969696969697,0.999518338804053
15,0.10087160084976302,0.9865671641791045,0.9238095238095239,0.9897959183673469,0.9556650246305419,0.9995004995004995
16,0.09983275500638167,0.9850746268656716,0.9150943396226415,0.9897959183673469,0.9509803921568627,0.9987690880548024
17,0.09482201894765152,0.9835820895522388,0.978021978021978,0.9081632653061225,0.9417989417989417,0.9990009990009989
18,0.09664799267415955,0.9880597014925373,0.9245283018867925,1.0,0.9607843137254902,0.9998929641786785
19,0.08414641992766514,0.982089552238806,1.0,0.8775510204081632,0.9347826086956522,0.999607535321821
20,0.08078117307275534,0.9895522388059701,0.9504950495049505,0.9795918367346939,0.964824120603015,0.9978771228771229
21,0.0898513644116751,0.9865671641791045,0.9158878504672897,1.0,0.9560975609756097,0.9998216069644641
22,0.09691579258320351,0.9522388059701492,1.0,0.673469387755102,0.8048780487804879,0.9998751248751248
23,0.08254367518579452,0.9955223880597015,0.9702970297029703,1.0,0.9849246231155779,0.9999821606964464
24,0.0891776828764705,0.9925373134328358,0.9514563106796117,1.0,0.9751243781094527,0.9999286427857856
25,0.08844708884431488,0.9925373134328358,0.9514563106796117,1.0,0.9751243781094527,0.999910803482232
26,0.08190018354080521,0.991044776119403,0.9893617021276596,0.9489795918367347,0.96875,0.9998751248751249
27,0.08892862359370222,0.9955223880597015,0.9702970297029703,1.0,0.9849246231155779,0.9999643213928929
28,0.08927770409689008,0.9970149253731343,1.0,0.9795918367346939,0.9896907216494846,0.9997324104466961
29,0.09355454970921935,0.9940298507462687,0.9607843137254902,1.0,0.98,1.0
30,0.08620809813679367,0.9985074626865672,1.0,0.9897959183673469,0.9948717948717949,0.9999821606964464
31,0.07905056343159284,0.9940298507462687,0.97,0.9897959183673469,0.9797979797979798,0.9998037676609105
32,0.08548257334897404,0.9955223880597015,0.9702970297029703,1.0,0.9849246231155779,0.9999821606964463
33,0.07549858647853808,0.9985074626865672,0.98989898989899,1.0,0.9949238578680203,1.0
34,0.07283864577322174,0.9970149253731343,1.0,0.9795918367346939,0.9896907216494846,1.0
35,0.09369435976623208,0.9955223880597015,0.9896907216494846,0.9795918367346939,0.9846153846153847,0.9995540174111602
36,0.08760210579074919,0.9970149253731343,1.0,0.9795918367346939,0.9896907216494846,1.0
37,0.07956830319395758,0.9985074626865672,0.98989898989899,1.0,0.9949238578680203,1.0
38,0.08091450432160248,0.9970149253731343,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9999108034822322
39,0.08521717544684534,0.9955223880597015,0.9896907216494846,0.9795918367346939,0.9846153846153847,0.9997145711431425
40,0.08153937351468404,0.9940298507462687,1.0,0.9591836734693877,0.9791666666666666,0.9993756243756243
41,0.09156113443071995,0.9970149253731343,1.0,0.9795918367346939,0.9896907216494846,0.9979484800913372
42,0.0811135921824455,1.0,1.0,1.0,1.0,1.0
43,0.10539895167933144,0.9970149253731343,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9999464820893392
44,0.0919784333539802,0.9985074626865672,0.98989898989899,1.0,0.9949238578680203,1.0
45,0.08086799090314242,0.9985074626865672,0.98989898989899,1.0,0.9949238578680203,1.0
46,0.08528095105214527,0.9970149253731343,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9999286427857856
47,0.08501806731388042,0.9955223880597015,1.0,0.9693877551020408,0.9844559585492227,0.9999643213928927
48,0.08283175040203375,0.9985074626865672,0.98989898989899,1.0,0.9949238578680203,0.9999999999999999
49,0.08167994015340535,0.9985074626865672,1.0,0.9897959183673469,0.9948717948717949,1.0
50,0.0749532235675447,0.9970149253731343,0.98,1.0,0.98989898989899,1.0
