epoch,loss,accuracy,precision,recall,f1,auc
1,0.5879030170229574,0.8537313432835821,0.0,0.0,0.0,0.6268731268731269
2,0.48494177565924707,0.8537313432835821,0.0,0.0,0.0,0.6673683459397745
3,0.4508113900968133,0.808955223880597,0.4305555555555556,0.9489795918367347,0.5923566878980892,0.9099115170543742
4,0.38361930740731104,0.8492537313432836,0.49238578680203043,0.9897959183673469,0.6576271186440678,0.9233980305408876
5,0.23028476994771224,0.7477611940298508,0.36704119850187267,1.0,0.536986301369863,0.951709005280434
6,0.21355238559830236,0.9432835820895522,0.7419354838709677,0.9387755102040817,0.8288288288288288,0.9828207506778935
7,0.40345367993162984,0.8537313432835821,0.0,0.0,0.0,0.9657663764806621
8,0.2772689345371673,0.8582089552238806,0.5077720207253886,1.0,0.6735395189003437,0.9511738261738262
9,0.2245212012177992,0.8537313432835821,0.0,0.0,0.0,0.9554730983302412
10,0.23298666759857684,0.8671641791044776,0.5240641711229946,1.0,0.6877192982456141,0.9641786784643929
11,0.25445168542628466,0.8537313432835821,0.0,0.0,0.0,0.9648565719994291
12,0.2388506759734939,0.8492537313432836,0.49246231155778897,1.0,0.6599326599326599,0.97072570286856
13,0.25264312329620703,0.8537313432835821,0.0,0.0,0.0,0.9708148993863279
14,0.2702336175256033,0.9373134328358209,0.78,0.7959183673469388,0.7878787878787878,0.9740616526330812
15,0.2575215864546445,0.9373134328358209,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.9760061367204224
16,0.2532671987230241,0.9507462686567164,0.768595041322314,0.9489795918367347,0.8493150684931506,0.9772370486656201
17,0.252515388722407,0.9014925373134328,0.8333333333333334,0.40816326530612246,0.547945205479452,0.9796096760382474
18,0.2717230945337014,0.9298507462686567,0.6808510638297872,0.9795918367346939,0.803347280334728,0.9794491223062651
19,0.2694866300440867,0.9522388059701492,0.775,0.9489795918367347,0.8532110091743119,0.98141144569716
20,0.2550221286820514,0.9552238805970149,0.8207547169811321,0.8877551020408163,0.8529411764705882,0.982410446696161
21,0.26376736389571115,0.9447761194029851,0.732824427480916,0.9795918367346939,0.8384279475982532,0.9829813044098759
22,0.2607957741948302,0.9582089552238806,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9846046810332524
23,0.2797485776245594,0.8552238805970149,1.0,0.01020408163265306,0.020202020202020204,0.9837305551591266
24,0.24281064440729097,0.9447761194029851,0.732824427480916,0.9795918367346939,0.8384279475982532,0.9853360924789497
25,0.25866022154356644,0.8552238805970149,1.0,0.01020408163265306,0.020202020202020204,0.9854609676038247
26,0.2796235923691616,0.926865671641791,0.6666666666666666,1.0,0.8,0.9858355929784501
27,0.2533201671988759,0.8776119402985074,0.8076923076923077,0.21428571428571427,0.3387096774193548,0.9860675039246467
28,0.2411270373173662,0.9492537313432836,0.9,0.7346938775510204,0.8089887640449438,0.9871200228343086
29,0.2589678100085464,0.9477611940298507,0.7368421052631579,1.0,0.8484848484848485,0.9865848437277009
30,0.24691777429740194,0.8895522388059701,0.875,0.2857142857142857,0.4307692307692308,0.9879941487084344
31,0.2429989264916173,0.9671641791044776,0.8333333333333334,0.9693877551020408,0.8962264150943396,0.9875481661195947
32,0.24205660007839255,0.9582089552238806,0.8977272727272727,0.8061224489795918,0.8494623655913979,0.98792279149422
33,0.22942217366587847,0.9686567164179104,0.8737864077669902,0.9183673469387755,0.8955223880597015,0.9878157556728985
34,0.22521414381686514,0.9626865671641791,0.8067226890756303,0.9795918367346939,0.8847926267281107,0.9885293278150421
35,0.21904427764820866,0.8716417910447761,0.875,0.14285714285714285,0.24561403508771928,0.9889753104038819
36,0.2505864263623953,0.9641791044776119,0.8083333333333333,0.9897959183673469,0.8899082568807339,0.9899029541886685
37,0.23808229822150576,0.9746268656716418,0.8785046728971962,0.9591836734693877,0.9170731707317074,0.9897424004566863
38,0.26995915817096827,0.9641791044776119,0.8135593220338984,0.9795918367346939,0.8888888888888888,0.9902062223490795
39,0.23202750550867138,0.9761194029850746,0.9019607843137255,0.9387755102040817,0.92,0.9905273298130441
40,0.2233713335389721,0.9656716417910448,0.8151260504201681,0.9897959183673469,0.8940092165898618,0.9901170258313114
41,0.22182706425345577,0.8597014925373134,1.0,0.04081632653061224,0.0784313725490196,0.9907949193663479
42,0.2229469977990464,0.9761194029850746,0.8796296296296297,0.9693877551020408,0.9223300970873787,0.9908305979734551
43,0.20538707191996072,0.9761194029850746,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9911695447409733
44,0.22044988355915482,0.9552238805970149,0.765625,1.0,0.8672566371681416,0.9921685457399744
45,0.23665119943002033,0.8686567164179104,1.0,0.10204081632653061,0.18518518518518517,0.9916512059369202
46,0.23166074383038063,0.9656716417910448,0.8099173553719008,1.0,0.8949771689497716,0.9919901527044384
47,0.21670736523919573,0.8597014925373134,1.0,0.04081632653061224,0.0784313725490196,0.992311260168403
48,0.23014653874736912,0.9761194029850746,0.8660714285714286,0.9897959183673469,0.9238095238095239,0.9902597402597403
49,0.23300064944679727,0.8656716417910447,1.0,0.08163265306122448,0.1509433962264151,0.9927929213643499
50,0.19958204678481534,0.9716417910447761,0.8434782608695652,0.9897959183673469,0.9107981220657277,0.9919009561866704
